Melanin,Haemoglobin,Thickness_cm,BloodOxygenation,MelaninTypeRatio
2.012233105988976700e-01,1.307405068605839993e-01,1.274031759574732400e-02,9.801624401771539263e-01,7.856466054828261658e-01
1.979181552272114494e-02,1.329213806953854493e-01,1.959058074698211485e-02,9.999285908705876080e-01,7.215281060158176274e-01
6.719019209697801864e-02,9.652616888581717902e-02,2.424232212981762211e-02,9.625824459307761316e-01,7.017063442697581976e-01
2.940280009410130568e-01,1.811320783500281195e-01,1.683474848915383557e-02,9.497055692613677325e-01,7.267275774376650288e-01
3.205029648844535672e-01,1.026645527047954781e-01,1.682294373873829962e-02,9.917636254370219007e-01,6.792042486343760066e-01
4.160616752142761166e-01,7.165695408820990653e-02,1.229667717446966159e-02,9.830955841433984821e-01,7.438310527737179711e-01
1.407790786412671802e-01,1.284346269736153789e-01,1.629261863950590833e-02,9.110112073343735739e-01,7.655049324185242421e-01
1.599272138889587525e-01,1.096817591867917385e-01,1.138657732774276538e-02,9.302722646798765593e-01,6.730192570063538993e-01
2.024394430373215870e-01,2.567994324666920264e-02,5.021841486246838779e-03,9.260645120429985555e-01,6.977574826452993539e-01
8.228321304715856266e-02,7.915235736857348381e-02,2.232192345756970134e-02,9.855261659377708705e-01,7.801701469049597826e-01
5.673632578891733141e-02,6.335175680780151530e-02,1.358888171043410448e-02,9.233245354306803820e-01,7.258297622950733441e-01
2.050774133509255803e-01,1.695199212272152367e-01,1.484176970107993487e-02,9.304044772474094893e-01,7.297754970016320231e-01
9.834411074282928267e-02,7.638966883764865268e-02,6.670018308518563775e-03,9.518788654295738949e-01,7.583612295580027807e-01
2.883502037187969380e-01,1.644894912951396504e-01,2.174221026810784288e-02,9.076119486713760676e-01,7.366839222831990108e-01
1.885381731962298968e-01,8.903552918628816759e-02,8.406741407551807099e-03,9.961229642637917658e-01,6.604369652110728683e-01
3.582189461088122751e-01,1.509466121256763937e-01,1.321242317568632058e-02,9.491062776535905687e-01,7.705942567794553666e-01
3.014137287589648828e-01,2.792110377372679711e-02,2.180531094127762665e-02,9.190433724029241080e-01,7.884254055872701450e-01
1.350052891528956134e-01,1.850053937120340330e-01,1.415565880427039139e-02,9.270820737823741720e-01,6.579915849486218660e-01
3.580394547985412679e-01,9.663141826898473397e-02,2.362304670932927411e-02,9.798083747087161788e-01,6.681874634686326697e-01
3.462439093661279776e-01,5.269985087963497544e-02,9.186286068413793832e-03,9.634006480178421983e-01,7.552962803311220608e-01
1.672282246039448472e-01,4.905643166659657411e-02,1.930465659909542595e-02,9.464626024223395939e-01,7.406710898771788898e-01
1.246927565860747184e-01,5.375038042641941405e-02,2.455997047123455179e-02,9.331601367388014934e-01,7.073775498457619548e-01
2.937905712052644724e-01,7.397811041067556270e-02,1.599227274440621904e-02,9.900684363008860345e-01,7.308872973410557305e-01
6.095381546839390846e-02,1.437863870024477519e-01,1.884367797287985966e-02,9.772564540292179025e-01,7.555007852001588420e-01
8.676061886182147298e-02,1.899710055372579309e-01,1.286453319202016804e-02,9.718112037349861954e-01,7.256714692821394364e-01
4.158413723181365179e-03,1.341384485946028049e-01,2.002674679450937995e-02,9.446000504617233506e-01,6.710282486953473846e-01
3.385905579484173589e-01,1.098860879178760602e-01,2.317748113047458230e-02,9.981160150759812444e-01,6.634154043699935777e-01
2.862210174779817873e-01,9.027096379540980320e-02,1.906111134101058299e-02,9.710070296786306177e-01,7.158288102782572881e-01
3.035159474306977634e-01,1.658106989404856957e-01,2.371857422761958559e-02,9.423624724986658929e-01,7.884327136773250366e-01
3.359327543084242307e-01,1.700817832867679291e-01,1.677305303984619189e-02,9.960552043731456529e-01,7.336668762062741322e-01
1.978748677059478378e-01,5.931449721213090387e-02,1.654274880901925732e-02,9.895724996531016782e-01,7.037330103526774350e-01
2.449899730637914164e-01,1.907306294820325931e-01,1.109254776218310604e-02,9.739965193544333211e-01,7.863059254281553612e-01
6.097291219676504587e-02,7.962795727807003843e-02,1.919254982327571815e-02,9.766996121620081794e-01,7.082948234268406917e-01
5.013340154693260442e-02,1.602155357691140425e-01,2.263905043512310852e-02,9.423627499693905119e-01,7.263719721401562524e-01
2.877448706081123242e-01,1.933971557383644402e-01,1.792632452257862663e-02,9.507350503630173089e-01,6.674748995943081686e-01
2.031002724354038502e-01,1.410279620702666326e-01,9.660784411971660296e-03,9.191547339036842956e-01,7.606101418279072046e-01
2.434862896804300125e-01,3.314859456378755481e-02,1.588218229443373250e-02,9.595396245533848179e-01,7.550454435715573398e-01
3.291845098314749585e-01,1.176412540796122480e-01,2.011874833902830076e-02,9.369916548359071840e-01,7.691365989288994065e-01
2.732941592802534680e-01,2.463664749602010803e-02,2.378726629745505847e-02,9.347438325570353035e-01,6.987786970141645071e-01
2.384855628822802054e-01,1.580392659339163453e-01,8.131920990411078617e-03,9.948228201138066273e-01,7.154079828599287927e-01
2.408998719597824079e-01,5.698171960090270965e-02,7.549941819331211501e-03,9.164783433183997241e-01,6.752512567290798184e-01
1.313945920688606439e-01,1.393477497889437089e-01,1.325887060465812117e-02,9.829973584093546490e-01,7.946757314144750062e-01
1.422085102964600403e-02,1.821078451519095864e-01,7.512223389252217429e-03,9.281468571008094637e-01,6.629116021111823853e-01
1.883517599806834586e-01,3.702096028336430977e-02,2.460857825010236838e-02,9.028655629020025941e-01,7.473519955512211155e-01
9.305682463957802575e-02,7.917870988163218382e-02,1.348608734565118206e-02,9.040463079828827686e-01,7.557886091847779708e-01
1.762587881578689120e-01,1.297766388266397009e-01,1.567221038135809680e-02,9.429177492585871789e-01,6.736604710476469249e-01
3.671099184320432696e-01,8.451205996909072482e-02,9.541755625855425499e-03,9.454460906148474120e-01,7.047984808745735297e-01
1.013600394362311752e-01,3.578896938331833227e-02,1.398252247073858423e-02,9.320251128444348998e-01,6.564689850143725636e-01
2.601187618460932063e-02,6.785251219590603469e-03,2.469387869722439871e-02,9.668779605564365998e-01,7.334912386379961458e-01
1.217136896774365096e-01,8.191303059669062525e-02,1.477374302733939007e-02,9.485342778492750204e-01,7.992407214235436319e-01
1.269517220819072756e-01,1.301925962898021483e-01,5.176478516089723890e-03,9.074113066331157551e-01,7.144827435233238599e-01
2.849621848178379713e-01,1.152228574223452401e-01,9.850550605012612509e-03,9.348071194913275539e-01,7.985012330559404514e-01
2.399667933544084031e-01,3.209200671236784458e-02,2.456909660957008398e-02,9.101962733849904286e-01,6.689338135713444045e-01
3.372923317066514048e-01,9.068799532960994392e-02,2.478135026821465248e-02,9.062915693890242208e-01,7.088681514901693514e-01
2.859905088004492391e-01,7.452473819006931455e-02,9.209861795434114151e-03,9.208306624997442125e-01,7.852947455072708527e-01
1.753399635577902460e-01,5.556627805638657963e-02,1.730528175687707018e-02,9.700575461161566881e-01,7.815043222486208752e-01
3.502147450217288904e-01,1.461249775282174590e-01,6.538166610108289180e-03,9.696001645725728091e-01,6.985387366804676201e-01
7.263138264040497338e-02,6.262075397540968480e-02,1.654883284889258413e-02,9.861389127103561414e-01,7.517915875652497748e-01
1.074347937442614309e-02,1.084882485142728142e-01,7.518414029728748282e-03,9.756419292490405848e-01,7.829240257336687048e-01
3.963053227275031148e-02,1.847214835186536952e-01,2.137323047285315941e-02,9.535495687261146269e-01,7.650316199229841851e-01
3.108921614058771654e-01,1.083159204684629034e-01,2.379149975204488884e-02,9.312612088009261102e-01,7.442714295399376345e-01
1.991453317778451859e-01,1.237875591219515931e-01,8.459736160989652851e-03,9.005811495167750369e-01,6.728863421840034498e-01
7.018559320541516156e-02,1.557595124734273070e-02,1.425424337189647866e-02,9.647137481287794136e-01,6.609504038855845698e-01
2.159482085193429601e-01,3.644869460460552907e-02,7.040859969492683189e-03,9.289713187614847545e-01,7.421933269724841908e-01
6.634189206394924820e-02,2.108928866032458091e-02,1.178280014145949989e-02,9.250100101727918300e-01,7.250413498533662127e-01
2.997214409083487352e-01,1.531977767228122067e-01,6.301955095210530142e-03,9.974825540774205912e-01,6.857054989597226591e-01
1.924010422212591720e-01,1.673482951024516385e-01,1.029093056034854209e-02,9.174240192406251104e-01,6.939154692438537220e-01
1.644581059953909852e-01,3.810460334572095265e-02,2.480447334178603053e-02,9.032434739849397598e-01,7.088130765802115318e-01
1.303486862444390160e-01,4.463507843369511618e-02,5.892065346428037448e-03,9.949390395192116987e-01,7.243281278183758554e-01
2.713912324480031169e-01,6.531825060906379377e-02,2.217936659237341318e-02,9.306006722056434644e-01,7.085388453632619488e-01
1.562176099274044938e-01,1.186244457738132585e-01,6.549051555082096784e-03,9.393420050620651107e-01,7.080937508128950508e-01
3.860181538660732714e-02,1.247374425662038794e-01,1.557993862234720306e-02,9.080934903943421732e-01,6.673599216967029957e-01
5.162453200970106709e-02,1.376640377497500567e-01,1.404239584854691247e-02,9.404065214453320998e-01,7.798385627383015439e-01
4.136540980917417509e-01,1.811333584864790736e-01,2.363109320041290040e-02,9.972221290768550350e-01,7.413731122667142071e-01
3.907811163135634369e-01,5.971298795881109511e-02,8.980997245701791490e-03,9.694019717838076033e-01,6.719153276903018224e-01
3.011743604048115475e-01,1.320930388521483756e-01,8.593640307592702657e-03,9.473824844833199643e-01,7.135811604316903978e-01
1.150582134661339018e-01,1.123848463097607414e-01,1.997428177135664520e-02,9.307471646012352995e-01,7.125073868044318193e-01
4.167766658821735470e-01,6.186161084210085870e-02,1.951438946200707847e-02,9.366043959281041831e-01,7.400931317733684400e-01
3.350841378013258987e-01,1.815756221321410124e-01,1.898363540985597425e-02,9.611228149960198142e-01,7.413304426773997813e-01
3.085458911492091061e-01,2.000119897988428611e-02,5.522542323447614254e-03,9.254450062605309446e-01,7.467833205469643909e-01
1.937760844196853294e-01,1.426882043395782396e-01,1.019919373449817285e-02,9.151947525495199853e-01,7.546854586015712130e-01
1.177916300315732245e-01,1.458468688914978106e-01,2.179790355708598887e-02,9.696228673943647625e-01,6.655031069193524385e-01
4.235172276385119894e-02,1.831499790103023606e-01,1.701716242913545174e-02,9.869469777118848874e-01,6.957383300859217856e-01
3.882164281173080544e-01,1.041975378779193689e-01,1.704389841464363370e-02,9.901538908420813856e-01,6.526021728759008322e-01
1.965280283386191540e-01,6.500284530562994156e-02,1.091833210809623270e-02,9.841418531878010079e-01,7.181962268120574144e-01
8.781388349715379960e-02,1.657203933021440811e-01,1.020346177113895872e-02,9.530599681699919445e-01,7.144145116745431734e-01
1.322553917606299201e-01,1.543912460846461332e-01,2.393109776036509567e-02,9.788830969004084226e-01,7.601490395269218103e-01
2.494851950760733628e-01,1.005628072694746133e-01,1.955510557706424332e-02,9.926355731767386725e-01,6.750675419911792430e-01
7.683552388093040086e-02,1.538036177511284130e-01,7.537322356036751242e-03,9.023362589607134554e-01,7.447241685688266166e-01
3.684875278756291062e-01,5.430724481337489973e-02,2.375413884287527755e-02,9.412098217708192438e-01,6.960041296895228546e-01
3.264048782993051456e-01,1.183117597502901241e-01,1.664740303636109628e-02,9.204125479570195445e-01,7.072874712214548554e-01
3.096496081029518899e-01,1.731715075027872308e-01,1.166724733914176193e-02,9.996768785424523518e-01,7.578930293557181175e-01
1.863679140635194909e-01,6.427891641868599404e-02,1.294278892799196820e-02,9.929566009633173929e-01,6.607322072860363216e-01
2.701154926613481000e-01,9.722644650371790875e-02,1.950809020705236360e-02,9.802185951075986781e-01,7.014174333396744343e-01
2.515780286635635465e-01,1.902579259804050016e-01,1.252545303372167192e-02,9.295879805126165962e-01,7.086984845209478578e-01
2.797841920670177673e-01,1.598441565523756047e-01,1.657489598237214118e-02,9.952102264545130694e-01,7.573623967777503019e-01
3.722661376901242186e-02,1.775207650457799879e-01,1.920998993296809884e-02,9.029250440062144278e-01,6.798836622606051483e-01
1.793813755311915170e-01,7.766416511719882732e-02,8.907499946119289830e-03,9.188039706517575622e-01,7.921119490535695196e-01
1.885248058675187410e-02,1.993045466672772048e-01,2.388482972485098804e-02,9.616873754230926830e-01,7.996642929191237759e-01
2.129220614558986202e-01,3.136055533207877943e-02,1.212345542870819567e-02,9.793006712058308638e-01,7.728365211230083798e-01
1.425104600907649011e-01,1.042353460600454890e-01,1.338749514153828729e-02,9.883630853115570325e-01,6.949568752195292021e-01
6.300087702353411589e-02,9.637540307695363628e-02,1.897028735735641417e-02,9.300508610701259116e-01,7.495799981109282362e-01
4.535987315297465572e-02,1.598880059692267819e-01,1.717570178775528270e-02,9.390804601069568935e-01,6.624722047546899306e-01
2.530995214642384750e-01,1.818149367304874031e-01,1.380239673878358442e-02,9.454827401953747046e-01,7.806918973559766606e-01
7.418438350232413325e-02,1.464967360047038925e-01,1.799484080601582853e-02,9.026973818533915450e-01,7.273989306890410456e-01
3.978765307836459875e-01,1.257364309899302590e-01,2.305656615144089164e-02,9.863969253052101704e-01,6.764658749479678379e-01
2.502752289314694178e-01,8.605840897885225216e-02,2.100567233290837402e-02,9.337948415386181367e-01,6.991124839342554020e-01
1.498071461454451025e-01,1.025548574980710975e-01,2.148518019909547230e-02,9.199278453755365126e-01,7.701114116731963000e-01
2.545027458455277891e-01,1.023507623317395504e-01,1.016816817134625836e-02,9.409197063099953295e-01,7.805340151140569560e-01
1.078286067174022769e-02,5.053326263191154979e-03,1.338806698595275055e-02,9.710563374899024991e-01,7.279570080401636112e-01
4.122219024805800491e-01,1.011061151607078601e-01,1.607638283308118407e-02,9.870915579393810813e-01,7.220467250466009457e-01
2.079081744485042071e-01,1.713381892346508562e-01,5.883816383229658990e-03,9.215376466215622342e-01,7.626102119829889503e-01
3.367934124903727566e-01,1.421455282173073875e-01,2.039584360754649259e-02,9.172612967035396192e-01,7.739284433777833261e-01
3.649116996672614743e-02,1.593460158028759677e-01,1.146926848830177870e-02,9.943782967820342655e-01,7.647270218593731350e-01
2.097764239295707989e-01,7.870651296393567364e-02,1.065192156082028600e-02,9.550893019163567699e-01,7.076642075351311512e-01
2.115133005780894804e-01,1.062656741456786541e-01,1.018584018712292809e-02,9.365772018991923575e-01,7.462888642413979534e-01
4.033275491842676086e-01,7.663230230422994962e-03,1.066758530840128741e-02,9.199319455064123296e-01,7.786039862406392009e-01
2.462713344693363282e-01,7.721659049169937727e-02,1.176029664315664594e-02,9.995247822198438659e-01,6.727640951071129916e-01
2.041269530534331744e-01,9.540879293363616065e-02,1.709649116152318557e-02,9.719184287091551244e-01,7.082205027672444642e-01
1.155325594664223382e-01,5.178657102021725495e-02,1.667130643800126405e-02,9.217885308177165005e-01,6.584928325812897665e-01
1.432430998599548977e-01,7.216954819139313054e-03,1.011423507203750710e-02,9.091259444827153313e-01,7.113315928531099841e-01
2.243684606602897036e-01,1.383912136470114851e-01,9.128485531464149150e-03,9.199282343968245845e-01,7.658423125877973359e-01
1.892930164708650220e-01,8.758246241891980144e-02,2.152716380142713840e-02,9.247742603907578296e-01,6.795542665138381011e-01
1.027158226866175389e-02,8.371996042933460558e-02,6.854466753527330841e-03,9.111085649261603248e-01,7.312830726686575522e-01
3.554792354793794851e-01,5.074736405167327297e-02,1.525645682401854941e-02,9.229651370713737313e-01,6.554878600132740818e-01
3.854529711192599128e-01,1.080282494006054028e-01,1.541121748378552342e-02,9.116779704932931327e-01,7.846474986097488058e-01
6.116685918040402209e-02,8.816732947287556077e-02,1.648273613623243289e-02,9.377731700886562383e-01,7.730007042350677260e-01
2.386815055782521844e-01,9.532291013278910985e-02,2.271300231814271653e-02,9.486195259169841743e-01,7.286613787680599197e-01
4.757899294710528360e-02,1.165933983388400264e-01,1.747827880189535207e-02,9.455284972580918490e-01,7.558680493957925517e-01
2.893909999140792388e-01,2.258604800707336366e-03,2.447267532496046755e-02,9.829210068349064633e-01,6.655874247303288360e-01
1.216492932669345634e-01,1.816314848041460928e-01,2.242706166697455011e-02,9.253995386334711304e-01,7.767814244596056295e-01
2.838923102828258549e-01,1.514639199207117037e-02,9.294805189744230478e-03,9.887093823888346567e-01,7.572892296607657281e-01
3.128806895290726087e-01,9.073402471588291884e-02,9.823666204506023222e-03,9.908122818528801723e-01,6.679951095087620638e-01
3.307497740326748592e-01,4.226720217263690155e-02,1.189548271830341217e-02,9.959799712003644112e-01,7.971033927678166098e-01
4.722086581507962261e-02,1.052326915046051942e-01,1.283028830160262701e-02,9.180983233884885131e-01,6.533795666309670791e-01
3.939690815640337629e-01,5.676579165063043442e-02,1.605990240615391001e-02,9.245751146235371420e-01,7.442766293889160334e-01
9.976180209390386744e-02,1.721412931144581937e-01,9.650252657926777083e-03,9.623832277357406983e-01,6.757632495111225435e-01
1.704998659958112395e-02,7.987560695852163883e-02,9.446903622275314161e-03,9.140891633205089351e-01,7.578886473829304915e-01
2.390317093689463546e-01,1.281123555979190309e-01,1.262779914736159199e-02,9.085621330336424162e-01,6.605609380953169074e-01
1.601256597769862289e-01,5.052706590142791443e-02,1.844046226425503920e-02,9.073697212031447412e-01,6.621651324264674621e-01
3.569797998038052311e-01,4.861823948309484250e-03,1.876251226192376595e-02,9.606149634666248938e-01,7.199437610844698909e-01
3.477398815155854916e-01,8.142675258704194785e-02,2.452233480080579300e-02,9.804678142009985997e-01,7.991014198102870392e-01
1.370525850209448893e-01,1.077608114220997421e-01,9.048308678436280811e-03,9.258885662659188664e-01,6.914774359655977420e-01
4.097938404849205685e-01,9.244988310108831486e-02,1.285718303713961549e-02,9.933533887125788331e-01,7.418792241134783971e-01
1.258037525621108765e-01,1.924408583999531464e-01,2.429354995878121176e-02,9.791935507899051094e-01,7.277898611561353093e-01
2.219595084404055452e-01,1.416609955953596622e-01,1.880017485331104271e-02,9.077460405365070928e-01,7.763179414475656070e-01
1.108090238535015815e-01,1.991382903244536540e-01,1.684557049644038254e-02,9.407303128524815428e-01,6.932884411557740378e-01
4.025626915510052695e-01,5.971695797248042364e-02,1.579292102802693984e-02,9.068014866034258548e-01,7.332416571067229549e-01
7.161675374268577920e-02,1.580216026418221620e-01,6.510207602725130716e-03,9.915194157793494334e-01,7.925935272657771424e-01
2.026665571930913456e-02,1.115561350417761666e-01,2.286747617631820773e-02,9.742802144472645365e-01,6.998878712504086330e-01
1.876566387413032833e-01,1.227403105352513901e-01,1.751010430830215320e-02,9.686545130354716759e-01,7.159108371965271500e-01
4.267291169799540818e-01,1.971847868880232391e-01,1.643334815856068234e-02,9.682701846614198971e-01,7.833219971755507327e-01
3.835295472233580805e-01,1.311434527504722891e-01,1.579000686643685161e-02,9.285182501895743457e-01,6.998748285851686957e-01
3.221528403470312329e-01,1.798645615750466553e-01,1.283828414642223387e-02,9.933539155200709070e-01,7.071010646950723899e-01
3.831499785868871522e-01,1.454242967091301797e-01,1.009329382721785642e-02,9.922776658220394674e-01,6.956178213316547287e-01
3.842886084303833161e-01,2.634983822322526509e-02,2.010643970668968619e-02,9.739488809374230449e-01,7.714297062987609532e-01
2.235902366057866408e-01,1.401853183541401926e-01,1.519135035523324143e-02,9.468930207071792893e-01,7.895580455656669994e-01
1.365335632354101880e-01,9.737880214841092286e-02,5.678790645784406385e-03,9.047115730790715737e-01,7.446648321000358672e-01
3.321933333756138529e-01,1.838408006034861486e-01,1.298188999544326594e-02,9.028311350137036007e-01,7.435445196889478581e-01
2.848526818989695064e-01,1.615600549909005923e-01,2.357207276445665370e-02,9.138134332923868453e-01,7.085005429569762869e-01
1.612991656868216217e-01,2.172280283383782110e-02,1.247789123081725730e-02,9.595764693693057401e-01,6.518725624357245563e-01
4.152620059839005201e-02,2.764921308705813388e-02,1.326466015851147581e-02,9.798099379204694426e-01,6.760906398235360104e-01
3.213727432687321639e-01,1.485258935792251045e-02,1.747922246110071229e-02,9.948465760273619285e-01,6.721157531885352254e-01
1.135955613309089507e-01,9.915573007417886886e-02,2.103349607631764887e-02,9.175362079276146998e-01,6.673823004219555655e-01
4.028928415789913009e-01,1.707358008226325316e-02,1.836922235409424453e-02,9.275527880796158309e-01,7.481070974080092917e-01
1.043763766774387508e-01,1.450119889783641203e-01,2.200109462245893044e-02,9.054100287054415164e-01,6.704523428560696940e-01
5.366315300452750847e-02,1.109193577086361182e-01,7.279411740813966115e-03,9.989047166880880013e-01,6.628450928805078579e-01
3.575473363415847539e-01,1.673411184930753415e-01,2.349185106637297765e-02,9.780915079211073282e-01,7.073872259842787225e-01
6.675897183190794559e-02,5.667936194559194257e-02,2.307843864822772123e-02,9.480714129190027650e-01,6.873533994451848095e-01
7.790610419967006206e-02,1.043090160480670131e-01,1.538297173171175591e-02,9.575565355302445569e-01,6.718790818453823643e-01
2.581352175624418432e-01,2.437845749619833163e-02,1.749484475574402190e-02,9.562174411333091983e-01,6.719191813337852537e-01
3.761871155192722527e-01,1.770373905274058302e-01,9.256261004028034853e-03,9.254360753143150431e-01,6.884308560174149383e-01
8.527047159155191902e-02,3.582598749567782875e-02,1.395894875962777962e-02,9.185390694293419367e-01,7.305274645064062655e-01
1.341288556741406512e-01,2.137008801873059582e-02,9.054067218396247979e-03,9.296975716622132291e-01,7.637143400136877647e-01
3.345066756054651536e-01,4.180506910611347937e-02,5.439533578820390791e-03,9.247153549796149896e-01,7.779164964878209076e-01
4.179135367801549705e-01,1.614400662558733157e-01,2.461806136254105284e-02,9.557528089864361087e-01,7.627126774608276039e-01
2.158179688808048446e-01,2.205709100925187793e-02,1.018293031420410173e-02,9.308202805839856930e-01,7.442319889556257007e-01
6.273202859448658020e-02,1.232710714727950352e-01,1.686216617795670628e-02,9.728944791615676824e-01,7.861436866279225555e-01
6.978667426818462548e-03,1.494900788224100274e-01,1.100500767075726118e-02,9.567939732857035917e-01,7.279605204101375904e-01
9.952243686950890122e-02,1.504651509360913630e-01,1.241243240420869878e-02,9.532263765414047407e-01,7.450035261280537613e-01
5.755173143041752287e-02,3.882211643501810167e-02,1.295523117164549751e-02,9.951293767089246511e-01,7.117430825497802482e-01
2.917155709799158503e-01,1.326317567714479020e-02,1.170093462649515401e-02,9.322409535380321577e-01,6.991076301321119679e-01
5.326614448563984916e-02,9.031247037067130501e-02,1.774799518679871443e-02,9.635269863239928068e-01,6.997567669191880890e-01
2.182155406652515617e-01,4.129458370366467790e-02,2.421872540977212246e-02,9.000050627027428307e-01,6.722475922568439399e-01
2.988385848907982867e-01,1.401548909937736787e-01,1.357269300012466096e-02,9.736923647277269112e-01,7.694896476010777420e-01
2.502990253557670908e-01,7.198186713142878945e-02,2.446653448108530512e-02,9.502543929016761259e-01,6.583052126500316126e-01
8.670375456216471155e-02,9.042143426559329233e-02,1.835594474689566241e-02,9.208384957284460048e-01,7.512027865646779823e-01
3.459694217321906962e-01,2.358350168724065304e-02,1.714272390042018146e-02,9.001510556428616860e-01,7.796690289255554518e-01
3.079096586051788820e-01,1.139425070230901671e-01,9.742077035978461558e-03,9.706943964003753589e-01,7.246142520478051630e-01
3.180241376797673936e-01,3.791931373674956030e-02,6.258414117987616543e-03,9.662700703550574088e-01,6.605301172762325645e-01
5.722377541808738172e-02,1.361181465220724918e-01,2.203869540583657666e-02,9.665407116479567406e-01,7.142626192455336920e-01
5.409038176599783448e-02,1.516259568703084634e-02,1.647962127888537992e-02,9.437454823120461356e-01,7.014839904323525444e-01
3.989243343817917564e-01,1.952030238639833604e-01,1.328827724849763678e-02,9.639297325769948799e-01,7.978308978949146812e-01
1.715610451508995382e-01,1.372208687385765291e-01,2.123934644176966868e-02,9.571334790106060808e-01,7.536897802428417226e-01
1.301069887740231579e-01,3.716418399457330907e-02,1.121160765154637605e-02,9.238895044611268315e-01,7.582039707243379834e-01
2.106025554558078050e-01,3.804834446909302961e-03,2.067234511928974644e-02,9.518768041468428365e-01,7.273740378443347421e-01
2.853687472755768728e-01,6.755811554883853209e-02,1.155927670811594116e-02,9.514592794618895732e-01,7.564121381663144739e-01
4.109623772731501035e-01,3.140983954638927600e-02,2.341762372808327275e-02,9.823622888233374262e-01,7.583856465083252951e-01
1.238854313324015965e-01,4.446385529078965282e-02,1.035933748913605082e-02,9.433489022670735746e-01,6.599538321119157169e-01
3.977428161748596258e-01,1.746773014291400083e-01,7.751082351491423057e-03,9.436085435766277119e-01,6.833909786715905987e-01
1.166472180470395914e-02,1.210377273501190565e-01,1.896193416698823894e-02,9.984404471274815895e-01,6.519451333143329030e-01
2.391799601582077772e-01,3.611507295275100116e-02,8.256945061295414834e-03,9.894463872858932918e-01,7.264711108892858427e-01
2.729753229111855362e-01,1.117752207368023221e-01,2.398726100577971282e-02,9.242285990043741517e-01,7.813699782254039938e-01
4.642998620907316104e-02,5.190035003157365823e-02,1.811110224777731995e-02,9.910293094668667369e-01,7.414331802042992692e-01
6.120568714041851877e-02,1.952639720072597562e-01,9.617213225690519549e-03,9.137966656346032668e-01,7.250311291711564188e-01
